Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
04/18/2019,421.1346,-1.3546,48.9200,34.7332
04/17/2019,422.4892,4.7182,48.9200,34.7332
04/16/2019,417.7710,0.8057,48.9200,34.7332
04/15/2019,416.9653,-0.3633,48.9200,34.7332
04/12/2019,417.3286,2.9591,48.9200,34.7332
04/11/2019,414.3695,1.3028,48.9200,34.7332
04/10/2019,413.0667,-4.6696,48.9200,34.7332
04/09/2019,417.7363,-1.0618,48.9200,34.7332
04/08/2019,418.7981,0.6197,48.9200,34.7332
04/05/2019,418.1784,-2.7588,48.9200,34.7332
04/04/2019,420.9372,1.0813,48.9200,34.7332
04/03/2019,419.8559,-2.3057,48.9200,34.2440
04/02/2019,422.1616,4.0838,48.9200,34.2440
04/01/2019,418.0778,-4.3045,48.9200,34.2440
03/29/2019,422.3823,2.5696,48.9200,34.2440
03/28/2019,419.8127,1.3755,48.9200,34.2440
03/27/2019,418.4372,1.3400,48.9200,34.7332
03/26/2019,417.0972,-4.6811,48.9200,34.7332
03/25/2019,421.7783,2.9100,48.9200,34.7332
03/22/2019,418.8683,4.0133,48.9200,34.7332
03/21/2019,414.8550,-0.9455,48.9200,34.7332
03/20/2019,415.8005,2.4647,48.9200,34.7332
03/19/2019,413.3358,-0.4268,48.9200,34.7332
03/18/2019,413.7626,4.2642,48.9200,34.7332
03/15/2019,409.4984,-2.3984,48.9200,34.7332
03/14/2019,411.8968,2.1373,48.9200,34.7332
03/13/2019,409.7595,-0.6986,48.9200,33.7548
03/12/2019,410.4581,5.9083,48.9200,33.7548
03/11/2019,404.5498,-3.1942,48.9200,33.7548
03/08/2019,407.7440,1.1933,48.9200,33.7548
03/07/2019,406.5507,6.6267,48.9200,33.7548
03/06/2019,399.9240,-1.2772,48.9200,33.7548
03/05/2019,401.2012,-5.2354,48.9200,33.7548
03/04/2019,406.4366,0.0929,48.9200,34.2440
03/01/2019,406.3437,0.2428,48.9200,34.2440
02/28/2019,406.1009,-7.0944,48.9200,34.2440
02/27/2019,413.1953,-2.1130,48.9200,34.2440
02/26/2019,415.3083,0.4029,48.9200,34.2440
02/25/2019,414.9054,-1.2721,48.9200,34.2440
02/22/2019,416.1775,2.1642,48.9200,34.2440
02/21/2019,414.0133,-1.7678,48.9200,34.2440
02/20/2019,415.7811,-0.9696,48.9200,33.7548
02/19/2019,416.7507,-1.7494,48.9200,33.7548
02/18/2019,418.5001,0.6507,48.9200,33.7548
02/15/2019,417.8494,-3.7801,48.9200,33.7548
02/14/2019,421.6295,0.4440,48.9200,32.2872
02/13/2019,421.1855,-0.2384,48.9200,32.2872
02/12/2019,421.4239,4.0262,48.9200,32.2872
02/11/2019,417.3977,-2.5953,48.9200,32.2872
02/08/2019,419.9930,1.2660,48.9200,32.2872
02/07/2019,418.7270,0.1557,48.9200,32.2872
02/06/2019,418.5713,1.1973,48.9200,32.2872
02/05/2019,417.3740,-3.6632,48.9200,33.7548
