Report Date,GROSS CARCASS PRICE,GROSS CARCASS CHANGE,GROSS CARCASS %,GROSS CARCASS WEIGHT
04/30/2015,356.4669,-0.4731,95.7400,69.8902
04/29/2015,356.9377,0.4177,95.7400,64.1458
04/28/2015,356.5164,-1.3036,95.7400,64.1458
04/27/2015,357.8190,-3.7110,95.7400,64.1458
04/24/2015,361.5327,0.1927,95.7400,64.1458
04/23/2015,361.3359,-1.0341,95.7400,64.1458
04/22/2015,362.3732,-4.0768,95.7400,64.1458
04/21/2015,366.4462,-0.1638,95.7400,64.1458
04/20/2015,366.6084,-2.4616,95.7400,64.1458
04/17/2015,369.0745,0.7845,95.7400,64.1458
04/16/2015,368.2914,1.6114,95.7400,67.0180
04/15/2015,366.6764,-0.5436,95.7400,67.0180
04/14/2015,367.2215,2.1815,95.7400,67.0180
04/13/2015,365.0366,1.1466,95.7400,67.0180
04/10/2015,363.8937,-2.3863,95.7400,67.0180
04/09/2015,366.2779,0.2579,95.7400,67.0180
04/08/2015,366.0205,1.1705,95.7400,67.9754
04/07/2015,364.8498,-1.0502,95.7400,67.9754
04/06/2015,365.9042,1.2642,95.7400,67.9754
04/03/2015,364.6380,-2.6720,95.7400,67.9754
04/02/2015,367.3080,-0.3820,95.7400,67.9754
04/01/2015,367.6921,1.0021,95.7400,68.9328
03/31/2015,366.6937,-0.9963,95.7400,68.9328
03/30/2015,367.6899,-2.9701,95.7400,68.9328
03/27/2015,370.6579,2.7679,95.7400,68.9328
03/26/2015,367.8857,0.2157,95.7400,68.9328
03/25/2015,367.6705,-2.3495,95.7400,69.8902
03/24/2015,370.0177,0.1577,95.7400,69.8902
03/23/2015,369.8550,2.4150,95.7400,69.8902
03/20/2015,367.4362,0.5162,95.7400,69.8902
03/19/2015,366.9235,1.0935,95.7400,69.8902
03/18/2015,365.8275,-1.2725,95.7400,69.8902
03/17/2015,367.1005,0.5905,95.7400,69.8902
03/16/2015,366.5058,-0.7842,95.7400,69.8902
03/13/2015,367.2931,-0.9969,95.7400,69.8902
03/12/2015,368.2910,-4.2590,95.7400,69.8902
03/11/2015,372.5503,-0.1497,95.7400,68.9328
03/10/2015,372.6996,-1.0804,95.7400,68.9328
03/09/2015,373.7769,1.7369,95.7400,68.9328
03/06/2015,372.0416,6.5516,95.7400,68.9328
03/05/2015,365.4858,0.6158,95.7400,68.9328
03/04/2015,364.8659,0.4959,95.7400,67.9754
03/03/2015,364.3703,0.4303,95.7400,67.9754
03/02/2015,363.9416,-2.3884,95.7400,67.9754
02/27/2015,366.3263,-4.7837,95.7400,67.9754
02/26/2015,371.1119,4.3819,95.7400,67.9754
02/25/2015,366.7306,1.5806,95.7400,67.9754
02/24/2015,365.1521,-0.2979,95.7400,67.9754
02/23/2015,365.4469,4.3969,95.7400,67.9754
02/20/2015,361.0473,0.1373,95.7400,67.9754
02/19/2015,360.9059,-1.3241,95.7400,67.9754
02/18/2015,362.2299,0.0299,95.7400,69.8902
02/17/2015,362.2034,-0.1266,95.7400,69.8902
02/16/2015,362.3346,-2.6954,95.7400,69.8902
02/13/2015,365.0280,-2.4020,95.7400,69.8902
02/12/2015,367.4281,-2.5819,95.7400,69.8902
02/11/2015,370.0135,-0.9265,95.7400,67.9754
02/10/2015,370.9361,-3.2239,95.7400,67.9754
02/09/2015,374.1581,-1.1419,95.7400,67.9754
02/06/2015,375.2961,-1.9339,95.7400,67.9754
02/05/2015,377.2294,0.2194,95.7400,67.9754
02/04/2015,377.0105,1.1505,95.7400,67.9754
02/03/2015,375.8639,-0.2061,95.7400,67.9754
02/02/2015,376.0747,-2.7953,95.7400,67.9754
01/30/2015,378.8675,2.3275,95.7400,67.9754
01/29/2015,376.5424,-0.2476,95.7400,67.9754
01/28/2015,376.7854,-2.0846,95.7400,67.9754
01/27/2015,378.8664,1.0564,95.7400,67.9754
01/26/2015,377.8073,1.2973,95.7400,67.9754
01/23/2015,376.5115,-3.5285,95.7400,67.9754
01/22/2015,380.0368,-0.9332,95.7400,67.9754
01/21/2015,380.9723,-0.5477,95.7400,67.0180
01/20/2015,381.5172,9.1072,95.7400,67.0180
01/19/2015,372.4081,-2.6819,95.7400,67.0180
01/16/2015,375.0865,2.2765,95.7400,67.0180
01/15/2015,372.8071,0.0771,95.7400,67.0180
01/14/2015,372.7275,3.1875,95.7400,65.1032
01/13/2015,369.5378,-9.8022,95.7400,65.1032
01/12/2015,379.3397,0.1597,95.7400,65.1032
01/09/2015,379.1767,-0.4833,95.7400,65.1032
01/08/2015,379.6603,0.6003,95.7400,65.1032
01/07/2015,379.0604,-6.4996,95.7400,65.1032
01/06/2015,385.5557,-0.0143,95.7400,65.1032
01/05/2015,385.5711,9.3511,95.7400,65.1032
01/02/2015,376.2247,1.7247,95.7400,65.1032
12/31/2014,374.5038,-0.6862,95.7400,65.1032
12/30/2014,375.1936,1.1636,95.7400,67.0180
12/29/2014,374.0323,-0.8777,95.7400,67.0180
12/26/2014,374.9108,-2.1992,95.7400,67.0180
12/24/2014,377.1060,1.6460,95.7400,67.0180
12/23/2014,375.4557,-2.7743,95.7400,66.0606
12/22/2014,378.2335,-2.0365,95.7400,66.0606
12/19/2014,380.2686,0.9086,95.7400,66.0606
12/18/2014,379.3560,2.1760,95.7400,66.0606
12/17/2014,377.1770,-0.4530,95.7400,65.1032
12/16/2014,377.6270,2.3670,95.7400,65.1032
12/15/2014,375.2580,-0.7021,95.7400,65.1032
12/12/2014,375.9614,-4.3086,95.7400,65.1032
12/11/2014,380.2665,1.8365,95.7400,65.1032
12/10/2014,378.4284,0.3184,95.7400,65.1032
12/09/2014,378.1083,-1.5517,95.7400,65.1032
12/08/2014,379.6610,-5.1190,95.7400,65.1032
12/05/2014,384.7762,1.9662,95.7400,65.1032
12/04/2014,382.8138,-1.6762,95.7400,65.1032
12/03/2014,384.4880,2.0880,95.7400,65.1032
12/02/2014,382.4039,-1.6461,95.7400,65.1032
12/01/2014,384.0533,2.7233,95.7400,65.1032
11/28/2014,381.3283,-0.4418,95.7400,65.1032
11/26/2014,381.7731,-4.7169,95.7400,64.1458
11/25/2014,386.4944,-0.1356,95.7400,64.1458
11/24/2014,386.6328,1.8028,95.7400,64.1458
11/21/2014,384.8280,2.0680,95.7400,64.1458
11/20/2014,382.7567,1.1567,95.7400,64.1458
11/19/2014,381.5979,4.2479,95.7400,64.1458
11/18/2014,377.3517,0.6017,95.7400,64.1458
11/17/2014,376.7468,-2.8532,95.7400,64.1458
11/14/2014,379.6017,1.8117,95.7400,64.1458
11/13/2014,377.7869,0.6769,95.7400,64.1458
11/12/2014,377.1116,-1.2384,95.7400,64.1458
11/11/2014,378.3516,1.8016,95.7400,64.1458
11/10/2014,376.5471,-0.4829,95.7400,64.1458
11/07/2014,377.0310,0.3910,95.7400,64.1458
11/06/2014,376.6399,-2.3601,95.7400,64.1458
11/05/2014,379.0049,0.4649,95.7400,63.1884
11/04/2014,378.5363,-1.6537,95.7400,63.1884
11/03/2014,380.1898,2.9198,95.7400,63.1884
10/31/2014,377.2727,-1.9973,95.7400,63.1884
10/30/2014,379.2719,1.6119,95.7400,63.1884
10/29/2014,377.6592,-0.4208,95.7400,62.2310
10/28/2014,378.0836,0.3736,95.7400,62.2310
10/27/2014,377.7078,-0.6922,95.7400,62.2310
10/24/2014,378.3975,0.6575,95.7400,62.2310
10/23/2014,377.7426,0.0526,95.7400,62.2310
10/22/2014,377.6915,0.0515,95.7400,61.2736
10/21/2014,377.6441,-2.0759,95.7400,61.2736
10/20/2014,379.7197,1.4997,95.7400,61.2736
10/16/2014,378.9461,-0.6539,95.7400,61.2736
10/15/2014,379.5989,1.2089,95.7400,62.2310
10/14/2014,378.3949,1.9649,95.7400,62.2310
10/13/2014,376.4293,2.0893,95.7400,62.2310
10/10/2014,374.3404,0.6904,95.7400,62.2310
10/09/2014,373.6456,0.1156,95.7400,62.2310
10/08/2014,373.5305,0.8205,95.7400,62.2310
10/07/2014,372.7126,-0.3074,95.7400,62.2310
10/06/2014,373.0182,-1.2818,95.7400,62.2310
10/03/2014,374.3033,0.0133,95.7400,62.2310
10/02/2014,374.2894,0.7894,95.7400,62.2310
10/01/2014,373.4961,0.2061,95.7400,62.2310
09/30/2014,373.2937,0.9037,95.7400,62.2310
09/29/2014,372.3910,-0.8090,95.7400,62.2310
09/26/2014,373.1964,2.8964,95.7400,62.2310
09/25/2014,370.2992,0.2892,95.7400,62.2310
09/24/2014,370.0130,0.6130,95.7400,63.1884
09/23/2014,369.3980,0.9880,95.7400,63.1884
09/22/2014,368.4105,0.2005,95.7400,63.1884
09/19/2014,368.2134,-1.2366,95.7400,63.1884
09/18/2014,369.4458,0.9958,95.7400,63.1884
09/17/2014,368.4494,-0.4406,95.7400,62.2310
09/16/2014,368.8938,-0.3862,95.7400,62.2310
09/15/2014,369.2825,0.0325,95.7400,62.2310
09/12/2014,369.2507,-0.2993,95.7400,62.2310
09/11/2014,369.5534,-0.6766,95.7400,62.2310
09/10/2014,370.2298,2.7198,95.7400,62.2310
09/09/2014,367.5074,0.9474,95.7400,62.2310
09/08/2014,366.5626,0.1926,95.7400,62.2310
09/05/2014,366.3694,1.3094,95.7400,62.2310
09/04/2014,365.0559,-0.0341,95.7400,62.2310
09/03/2014,365.0919,-3.6481,95.7400,63.1884
09/02/2014,368.7435,2.2835,95.7400,63.1884
08/29/2014,366.4609,-0.7291,95.7400,63.1884
08/28/2014,367.1863,1.2763,95.7400,63.1884
08/27/2014,365.9147,1.8247,95.7400,63.1884
08/26/2014,364.0852,1.5552,95.7400,63.1884
08/25/2014,362.5253,-1.4747,95.7400,63.1884
08/22/2014,364.0027,2.1127,95.7400,63.1884
08/21/2014,361.8949,-0.0051,95.7400,63.1884
08/20/2014,361.9029,0.4529,95.7400,67.0180
08/19/2014,361.4468,0.5568,95.7400,67.0180
08/18/2014,360.8891,0.3391,95.7400,67.0180
