Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
10/25/2019,403.9362,0.3041,45.5500,29.1520
10/24/2019,403.6321,-7.5098,45.5500,29.1520
10/23/2019,411.1419,-2.2800,45.5500,28.6965
10/22/2019,413.4219,5.5459,45.5500,28.6965
10/21/2019,407.8760,3.2975,45.5500,28.6965
10/18/2019,404.5785,0.1055,45.5500,28.6965
10/17/2019,404.4730,7.8329,45.5500,28.6965
10/16/2019,396.6401,-3.5423,45.5500,28.6965
10/15/2019,400.1824,3.2202,45.5500,28.6965
10/14/2019,396.9622,-0.7433,45.5500,28.6965
10/11/2019,397.7055,-2.1258,45.5500,28.6965
10/10/2019,399.8313,0.4092,45.5500,28.6965
10/09/2019,399.4221,7.0470,45.5500,28.2410
10/08/2019,392.3751,-3.2795,45.5500,28.2410
10/07/2019,395.6546,0.4594,45.5500,28.2410
10/04/2019,395.1952,1.2577,45.5500,28.2410
10/03/2019,393.9375,1.3221,45.5500,28.2410
10/02/2019,392.6154,-2.6099,45.5500,28.6965
10/01/2019,395.2253,-2.0439,45.5500,28.6965
09/30/2019,397.2692,-0.1944,45.5500,28.6965
09/27/2019,397.4636,1.1597,45.5500,28.6965
09/26/2019,396.3039,3.2581,45.5500,28.6965
09/25/2019,393.0458,0.4930,45.5500,29.1520
09/24/2019,392.5528,1.8339,45.5500,29.1520
09/23/2019,390.7189,0.3842,45.5500,29.1520
09/20/2019,390.3347,-2.1048,45.5500,29.1520
09/19/2019,392.4395,-9.8975,45.5500,29.1520
09/18/2019,402.3370,0.2606,45.5500,29.6075
09/17/2019,402.0764,-2.4646,45.5500,29.6075
09/16/2019,404.5410,-3.4499,45.5500,29.6075
09/13/2019,407.9909,3.9324,45.5500,29.6075
09/12/2019,404.0585,-1.9473,45.5500,29.6075
09/11/2019,406.0058,-0.7307,45.5500,29.6075
09/10/2019,406.7365,5.7555,45.5500,29.6075
09/09/2019,400.9810,-3.0257,45.5500,29.6075
09/06/2019,404.0067,-2.9284,45.5500,29.6075
09/05/2019,406.9351,-1.3818,45.5500,29.6075
09/04/2019,408.3169,3.3658,45.5500,29.6075
09/03/2019,404.9511,4.3511,45.5500,29.6075
08/30/2019,400.6000,0.9935,45.5500,29.6075
08/29/2019,399.6065,0.8659,45.5500,29.6075
08/28/2019,398.7406,2.3029,45.5500,29.1520
08/27/2019,396.4377,4.2047,45.5500,29.1520
08/26/2019,392.2330,-1.9657,45.5500,29.1520
08/23/2019,394.1987,-0.4109,45.5500,29.1520
08/22/2019,394.6096,2.8556,45.5500,29.1520
08/21/2019,391.7540,-0.4550,45.5500,30.0630
08/20/2019,392.2090,-4.5312,45.5500,30.0630
08/19/2019,396.7402,-0.7629,45.5500,30.0630
08/16/2019,397.5031,1.2587,45.5500,30.0630
08/15/2019,396.2444,-4.0455,45.5500,30.0630
08/14/2019,400.2899,-0.4686,45.5500,29.6075
08/13/2019,400.7585,0.7757,45.5500,29.6075
08/12/2019,399.9828,-2.2523,45.5500,29.6075
08/09/2019,402.2351,-2.2058,45.5500,29.6075
08/08/2019,404.4409,1.3456,45.5500,29.6075
08/07/2019,403.0953,2.5820,45.5500,30.5185
08/06/2019,400.5133,-3.1288,45.5500,30.5185
08/05/2019,403.6421,7.9968,45.5500,30.5185
08/02/2019,395.6453,0.2501,45.5500,30.5185
08/01/2019,395.3952,-3.1231,45.5500,30.5185
07/31/2019,398.5183,-2.9361,45.5500,30.0630
07/30/2019,401.4544,2.6732,45.5500,30.0630
07/29/2019,398.7812,-5.9384,45.5500,30.0630
07/26/2019,404.7196,-1.8743,45.5500,30.0630
07/25/2019,406.5939,2.3871,45.5500,30.0630
07/24/2019,404.2068,-6.9079,45.5500,29.1520
07/23/2019,411.1147,-3.0510,45.5500,29.1520
07/22/2019,414.1657,4.4869,45.5500,29.1520
07/19/2019,409.6788,2.1712,45.5500,29.1520
07/18/2019,407.5076,2.8995,45.5500,29.1520
07/17/2019,404.6081,3.0279,45.5500,30.0630
07/16/2019,401.5802,2.8758,45.5500,30.0630
07/15/2019,398.7044,-4.0510,45.5500,30.0630
07/12/2019,402.7554,3.6391,45.5500,30.0630
07/11/2019,399.1163,-5.7389,45.5500,30.0630
07/10/2019,404.8552,1.2684,45.5500,30.9740
07/09/2019,403.5868,4.4648,45.5500,30.9740
07/08/2019,399.1220,-1.6415,45.5500,30.9740
07/05/2019,400.7635,-2.1448,45.5500,31.4295
07/03/2019,402.9083,3.4835,45.5500,31.4295
07/02/2019,399.4248,-6.0697,45.5500,31.4295
07/01/2019,405.4945,4.6431,45.5500,31.4295
06/28/2019,400.8514,1.2781,45.5500,31.4295
06/27/2019,399.5733,-0.4831,45.5500,31.4295
06/26/2019,400.0564,-2.1034,45.5500,30.9740
06/25/2019,402.1598,-0.6366,45.5500,30.9740
06/24/2019,402.7964,-1.3365,45.5500,30.9740
06/21/2019,404.1329,-1.6482,45.5500,30.9740
06/20/2019,405.7811,0.4629,45.5500,30.9740
06/19/2019,405.3182,-1.4315,45.5500,30.0630
06/18/2019,406.7497,2.6092,45.5500,30.0630
06/17/2019,404.1405,-1.7932,45.5500,30.0630
06/14/2019,405.9337,4.1509,45.5500,30.0630
06/13/2019,401.7828,1.2613,45.5500,30.0630
06/12/2019,400.5215,5.5436,45.5500,30.5185
06/11/2019,394.9779,-0.3063,45.5500,30.5185
06/10/2019,395.2842,2.9982,45.5500,30.5185
06/07/2019,392.2860,-4.6552,45.5500,30.5185
06/06/2019,396.9412,0.2131,45.5500,30.5185
06/05/2019,396.7281,-8.0496,45.5500,30.9740
06/04/2019,404.7777,6.9382,45.5500,30.9740
06/03/2019,397.8395,-4.7018,45.5500,30.9740
05/31/2019,402.5413,1.6863,45.5500,30.9740
05/30/2019,400.8550,-0.6207,45.5500,30.9740
05/29/2019,401.4757,-0.9140,45.5500,30.0630
05/28/2019,402.3897,-0.9362,45.5500,30.0630
05/24/2019,403.3259,0.3735,45.5500,30.0630
