Report Date,CODE,CUTS,FOB PRICE,CHANGE,%CARCASS,LBS
06/17/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.4080
06/17/2020,296,GROUND LAMB,504.4976,-2.7834,1.9200,1.3440
06/17/2020,,SHRINK,,,0.3500,0.2450
06/17/2020,,HINDSADDLE,,,,
06/17/2020,232,"LOINS, TRIMMED 4X4",555.5346,10.3639,5.7300,4.0110
06/17/2020,232,"LOINS, TRIMMED 1X1",704.2961,-5.7991,3.5500,2.4850
06/17/2020,232E,"FLANK, UNTRIMMED **",203.6483,-9.2637,2.8600,2.0020
06/17/2020,233A,"LEG, TROTTER OFF",382.8106,2.4347,15.8200,11.0740
06/17/2020,234,"LEG, BONELESS, TIED",502.4164,-3.6566,11.3800,7.9660
06/17/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.2010
06/17/2020,296,GROUND LAMB,504.4976,-2.7834,1.9300,1.3510
06/17/2020,,SHRINK,,,0.3500,0.2450
06/16/2020,,FORESADDLE,,,,
06/16/2020,204,"RACK, 8-RIB MEDIUM",828.5622,-13.8456,5.6800,3.9760
06/16/2020,204C,"RACK, ROAST-READY, FRENCHED",1571.1153,5.9422,3.2400,2.2680
06/16/2020,209,BREAST **,283.0516,-1.1768,7.7400,5.4180
06/16/2020,207,"SHOULDERS, SQ-CUT",325.9391,1.0839,22.9600,16.0720
06/16/2020,210,FORESHANK,417.1368,-0.9549,3.2400,2.2680
06/16/2020,,NECK **,205.3570,2.6413,2.3800,1.6660
06/16/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.4080
06/16/2020,296,GROUND LAMB,507.2810,-4.0857,1.9200,1.3440
06/16/2020,,SHRINK,,,0.3500,0.2450
06/16/2020,,HINDSADDLE,,,,
06/16/2020,232,"LOINS, TRIMMED 4X4",545.1707,2.9736,5.7300,4.0110
06/16/2020,232,"LOINS, TRIMMED 1X1",710.0952,1.5367,3.5500,2.4850
06/16/2020,232E,"FLANK, UNTRIMMED **",212.9120,94.5753,2.8600,2.0020
06/16/2020,233A,"LEG, TROTTER OFF",380.3759,-1.3499,15.8200,11.0740
06/16/2020,234,"LEG, BONELESS, TIED",506.0730,-26.5924,11.3800,7.9660
06/16/2020,,FAT and BONE,10.0000,0.0000,7.4300,5.2010
06/16/2020,296,GROUND LAMB,507.2810,-4.0857,1.9300,1.3510
06/16/2020,,SHRINK,,,0.3500,0.2450
06/15/2020,,FORESADDLE,,,,
06/15/2020,204,"RACK, 8-RIB MEDIUM",842.4078,6.9422,5.6800,3.9760
06/15/2020,204C,"RACK, ROAST-READY, FRENCHED",1565.1731,-54.1713,3.2400,2.2680
06/15/2020,209,BREAST **,284.2284,-12.9855,7.7400,5.4180
06/15/2020,207,"SHOULDERS, SQ-CUT",324.8552,2.1281,22.9600,16.0720
06/15/2020,210,FORESHANK,418.0917,4.6220,3.2400,2.2680
06/15/2020,,NECK **,202.7157,0.4833,2.3800,1.6660
06/15/2020,,FAT and BONE,10.0000,0.0000,3.4400,2.4080
06/15/2020,296,GROUND LAMB,511.3667,10.6010,1.9200,1.3440
06/15/2020,,SHRINK,,,0.3500,0.2450
